Hugo_Symbol	Entrez_Gene_Id	Patient_example_TD
CKS1B	1163	1
MIR4258	100423020	1
FLAD1	80308	1
LENEP	55891	1
ZBTB7B	51043	1
DCST2	127579	1
DCST1	149095	1
DCST1-AS1	100505666	1
ADAM15	8751	1
EFNA4	1945	1
EFNA3	1944	1
EFNA1	1942	1
SLC50A1	55974	1
DPM3	54344	1
HMGN2P18	648822	1
KRTCAP2	200185	1
TRIM46	80128	1
MUC1	4582	1
MIR92B	693235	1
THBS3	7059	1
MTX1	4580	1
GBAP1	2630	1
MTX1P1	4581	1
GBA	2629	1
FAM189B	10712	1
SCAMP3	10067	1
CLK2	1196	1
HCN3	57657	1
PKLR	5313	1
FDPS	2224	1
RUSC1-AS1	284618	1
RUSC1	23623	1
ASH1L	55870	1
MIR555	693140	1
RNU6-106P	106479613	1
ASH1L-IT1	106478976	1
RNU6-1297P	106480657	1
POU5F1P4	645682	1
ASH1L-AS1	645676	1
YY1AP1	55249	-1
DAP3	7818	-1
MSTO2P	100129405	-1
GON4L	54856	-1
SYT11	23208	-1
RIT1	6016	-1
SH2D2A	9047	2
NTRK1	4914	2
ADCY10	55811	2
CDC42BPA	8476	1
LINC01641	107985463	1
NUCKS1P1	100130466	1
BTF3P9	503543	1
TUBB8P10	391171	1
TUBB8P9	255208	1
RNA5SP77	100873311	1
ZNF678	339500	1
ZNF847P	401983	1
SNAP47	116841	1
JMJD4	65094	1
SNAP47-AS1	100885800	1
PRSS38	339501	1
WNT9A	7483	1
MIR5008	100847072	1
CICP26	648262	1
SEPTIN14P17	106480344	1
WNT3A	89780	1
LINC02809	100506571	1
ARF1	375	1
MIR3620	100500810	1
C1orf35	79169	1
MRPL55	128308	1
FAM96AP2	391174	1
GUK1	2987	1
GJC2	57165	1
IBA57-DT	574432	1
IBA57	200205	1
OBSCN-AS1	574407	1
OBSCN	84033	1
TRIM11	81559	1
MIR6742	102465444	1
TRIM17	51127	1
H3-4	8290	1
H2AW	92815	2
H2BU1	128312	2
MIR4666A	100616308	2
H2BU2P	337872	2
RNF187	149603	1
BTNL10	100129094	1
RNA5SP19	100873274	1
RNA5SP162	100873427	1
RNA5S1	100169751	1
RNA5S2	100169753	1
RNA5S3	100169754	1
RNA5S4	100169755	1
RNA5S5	100169756	1
RNA5S6	100169757	1
RNA5S7	100169758	1
RNA5S8	100169759	1
RNA5S9	100169760	1
RNA5S10	100169761	1
RNA5S11	100169762	1
RNA5S12	100169763	1
RNA5S13	100169764	1
RNA5S14	100169765	1
RNA5S15	100169766	1
RNA5S16	100169767	1
RNA5S17	100169768	1
RNA5SP18	100873273	1
DUSP5P1	574029	1
FTH1P2	2497	1
RHOU	58480	1
EFCAB2	84288	2
RNU6-999P	106480008	2
EFR3B	22979	2
RN7SL856P	106479533	2
KCNK3	3777	2
RNU6-612P	106481374	2
ATP1B3P1	484	2
PAPOLG	64895	2
LINC01185	400957	2
RN7SL632P	106481095	2
RPL21P33	100270953	2
REL	5966	2
RNU4-51P	106479581	2
NONOP2	100271700	2
PUS10	150962	2
WDPCP	51057	2
VAX2	25806	2
ATP6V1B1	525	2
ATP6V1B1-AS1	101927750	2
ELOCP21	100462866	2
RN7SL160P	106480964	2
ANKRD53	79998	2
TEX261	113419	2
CNGA3	1261	2
ECRG4	84417	2
UXS1	80146	2
RPL22P10	100128408	2
PLGLA	285189	2
RGPD3	653489	2
CD8B2	927	2
IL36B	27177	2
CFAP221	200373	2
PTPN4	5775	2
WDR33	55339	2
RNA5SP103	100873374	2
RAPGEF4	11069	2
MAP3K20	51776	2
MAP3K20-AS1	339751	2
HDAC4	9759	1
MIR4440	100616397	1
MIR4441	100616493	1
NDUFA10	4705	1
MIR4786	100616417	1
OR6B2	389090	1
OR6B3	150681	1
OR9S24P	403275	1
OR5S1P	391496	1
FARP2	9855	1
MIR3133	100422942	1
STK25	10494	1
BOK-AS1	100379249	1
BOK	666	1
THAP4	51078	1
RNA5SP122	100873392	1
ATG4B	23192	1
DTYMK	1841	1
ING5	84289	1
D2HGDH	728294	1
GAL3ST2	64090	1
NEU4	129807	1
PDCD1	5133	1
RTP5	285093	1
LINC01237	101927289	1
FAM240C	114515522	1
LINC01238	102723927	1
VGLL4	9686	2
IQSEC1	9922	2
NUP210	23225	2
GNAI2	2771	2
STAB1	23166	2
NT5DC2	64943	1
SMIM4	440957	1
PBRM1	55193	1
RNU6-856P	106481451	1
RNU6ATAC16P	106479550	1
ERC2	26059	2
QTRT2	79691	2
SLC41A3	54946	2
ALDH1L1	10840	2
ALDH1L1-AS1	100874204	2
CHCHD6	84303	2
EFCC1	79825	2
COPG1	22820	2
MIR6826	102465496	2
HMCES	56941	2
PIK3CB	5291	1
LEKR1	389170	2
ZNF595	152687	-1
ZNF718	255403	-1
ZNF876P	642280	-1
ZNF732	654254	-1
ZNF141	7700	-1
MIR571	693156	-1
ZNF519P4	106481981	-1
ABCA11P	79963	-1
ZNF721	170960	-1
PIGG	54872	1
TMEM271	112441426	1
PDE6B	5158	1
ATP5ME	521	1
MYL5	4636	1
SLC49A3	84179	1
PCGF3	10336	1
CPLX1	10815	1
GAK	2580	2
TMEM175	84286	1
DGKQ	1609	1
SLC26A1	10861	1
IDUA	3425	1
FGFRL1	53834	1
RNF212	285498	1
TMED11P	100379220	1
SPON2	10417	1
CTBP1-AS	285463	1
CTBP1	1487	1
CTBP1-DT	92070	1
MAEA	10296	1
UVSSA	57654	1
NKX1-1	54729	1
FAM53A	152877	1
SLBP	7884	1
TACC3	10460	1
TMEM129	92305	1
FGFR3	2261	1
LETM1	3954	1
NSD2	7468	1
SCARNA22	677770	1
NELFA	7469	1
MIR943	100126332	1
C4orf48	401115	1
NAT8L	339983	1
POLN	353497	1
HAUS3	79441	1
COX6B1P5	100289662	1
MXD4	10608	1
MIR4800	100616358	1
ZFYVE28	57732	1
RN7SL589P	106479438	1
CFAP99	402160	1
RNF4	6047	1
FAM193A	8603	1
TNIP2	79155	1
SH3BP2	6452	1
ADD1	118	1
MFSD10	10227	1
HTT	3064	1
MSANTD1	345222	1
RGS12	6002	1
HGFAC	3083	1
DOK7	285489	1
LRPAP1	4043	1
EXOC3	11336	2
SLC9A3	6550	2
SLC9A3-AS1	100288152	2
MIR4456	100616381	2
CEP72	55722	2
TPPP	11076	2
NKD2	85409	2
SLC12A7	10723	2
MIR4635	100616479	2
SLC6A19	340024	2
SLC6A18	348932	1
TERT	7015	1
MIR4457	100616235	1
CLPTM1L	81037	1
LINC01511	100506791	1
MTCO2P32	107075196	1
SLC6A3	6531	1
LPCAT1	79888	1
MIR6075	102466103	1
SDHAP3	728609	1
MIR4277	100422966	1
MRPL36	64979	1
NDUFS6	4726	1
LINC02116	101929034	1
IRX4	50805	1
IRX4-AS1	101929056	1
LSINCT5	101234261	1
IRX2	153572	1
C5orf38	153571	1
LINC01019	285577	1
LINC02162	105374624	1
LINC01017	102467075	1
IRX1	79192	1
SNX18	112574	2
RNA5SP188	100873450	2
CYSTM1	84418	2
PFDN1	5201	2
CD14	929	1
NDUFA2	4695	1
TMCO6	55374	1
IK	3550	1
MIR3655	100500820	1
WDR55	54853	1
DND1	373863	1
HARS1	3035	1
HARS2	23438	1
ZMAT2	153527	1
VTRNA1-1	56664	1
VTRNA1-2	56663	1
VTRNA1-3	56662	1
PCDHA1	56147	1
PCDHA2	56146	1
PCDHA3	56145	1
PCDHA4	56144	1
NEURL1B	54492	2
MIR5003	100847029	2
LINC01574	102577424	1
UNC5A	90249	1
HK3	3101	1
UIMC1	51720	1
DUSP22	56940	1
IRF4	3662	1
EXOC2	55770	1
HUS1B	135458	1
LINC01622	285768	1
FOXQ1	94234	1
LINC01394	106144586	1
FOXF2	2295	1
MIR6720	102466720	1
RN7SL352P	106479352	1
FOXCUT	101927703	1
FOXC1	2296	1
GMDS	2762	1
GMDS-DT	100508120	1
HMGN2P28	100128372	1
LINC02521	105374885	1
LINC01600	154386	1
MYLK4	340156	1
WRNIP1	56897	1
SERPINB1	1992	1
SERPINB9P1	221756	1
MIR4645	100616285	1
SERPINB9	5272	1
SERPINB6	5269	1
LINC01011	401232	1
NQO2	4835	1
NQO2-AS1	105374888	1
HTATSF1P2	401233	1
FAM136BP	387071	1
SERPINB8P1	11029	1
RIPK1	8737	1
RNA5SP201	100873462	1
BPHL	670	1
TUBB2A	7280	1
TUBB2BP1	100132153	1
LINC02525	100507194	1
TUBB2B	347733	1
PSMG4	389362	1
SLC22A23	63027	1
PXDC1	221749	1
FAM50B	26240	1
TDGF1P4	22815	1
GLRX3P2	728344	1
PRPF4B	8899	1
FAM217A	222826	1
C6orf201	404220	1
ECI2	10455	1
ECI2-DT	100507506	1
RNA5SP202	100873463	1
LINC02533	105374895	1
PSMC1P11	442153	1
CDYL	9425	1
CDYL-AS1	101927913	1
RPP40	10799	1
PPP1R3G	648791	1
LYRM4	57128	1
MIR3691	100500900	1
FARS2	10667	2
HNRNPA1P37	100421379	1
RN7SL221P	106480982	2
PKMP5	442156	2
NRN1	51299	2
F13A1	2162	1
MIR7853	102466866	1
MIR5683	100847034	1
